,tweet_id,faves,retweets
744,687494652870668288,1845,560
745,687664829264453632,1884,494
746,687704180304273409,2371,818
747,687807801670897665,2329,693
748,687818504314159109,2413,924
749,687826841265172480,2673,1087
750,688064179421470721,1691,351
751,688116655151435777,2756,748
752,688179443353796608,2075,566
753,688211956440801280,2183,804
754,688385280030670848,9035,4331
755,688519176466644993,2259,708
756,688547210804498433,2528,675
757,688789766343622656,2161,641
758,688804835492233216,942,184
759,688828561667567616,1346,357
760,688894073864884227,2183,663
761,688898160958271489,2036,757
762,688908934925697024,2052,739
763,688916208532455424,2641,834
764,689143371370250240,1962,489
765,689154315265683456,2998,961
766,689275259254616065,1112,236
767,689280876073582592,1931,683
768,689283819090870273,3173,1061
769,689289219123089408,2195,903
770,689517482558820352,3310,1389
771,689557536375177216,1993,442
772,689599056876867584,11340,5335
773,689623661272240129,2167,622
774,689659372465688576,10088,3730
775,689661964914655233,3142,905
776,689835978131935233,2109,726
777,689877686181715968,2955,1122
778,689905486972461056,2382,677
779,689977555533848577,1336,433
780,689999384604450816,1376,354
781,690005060500217858,3570,1628
782,690015576308211712,2423,712
783,690021994562220032,2718,995
784,690248561355657216,1634,403
785,690360449368465409,2592,855
786,690374419777196032,3166,818
787,690400367696297985,1836,433
788,690597161306841088,1900,583
789,690649993829576704,1263,266
790,690690673629138944,2261,798
791,690728923253055490,2119,502
792,690735892932222976,3686,1225
793,690932576555528194,3194,984
794,690938899477221376,3986,1888
795,690959652130045952,3479,1208
796,691090071332753408,1676,325
797,691096613310316544,2885,855
798,691321916024623104,2507,639
799,691416866452082688,18818,7402
800,691444869282295808,2573,823
801,691459709405118465,3936,1104
802,691483041324204033,2323,545
803,691675652215414786,1901,493
804,691756958957883396,2766,964
805,691820333922455552,3858,1598
806,692017291282812928,2811,925
807,692142790915014657,1606,381
808,692158366030913536,2090,765
809,692187005137076224,2467,789
810,692417313023332352,9124,3355
811,692530551048294401,1782,399
812,692535307825213440,3071,1318
813,692568918515392513,4238,1483
814,692752401762250755,6629,3530
815,692828166163931137,2795,862
816,692894228850999298,2202,771
817,692901601640583168,1711,583
818,692905862751522816,2358,845
819,692919143163629568,2609,731
820,693095443459342336,1806,443
821,693109034023534592,1663,592
822,693155686491000832,7680,3117
823,693231807727280129,2799,719
824,693262851218264065,2150,483
825,693280720173801472,3263,1203
826,693486665285931008,1725,613
827,693590843962331137,4911,1893
828,693622659251335168,1499,361
829,693629975228977152,2381,771
830,693642232151285760,2474,398
831,693647888581312512,2615,565
832,693942351086120961,1701,355
833,694001791655137281,3315,991
834,694183373896572928,2870,900
835,694206574471057408,4051,1978
836,694329668942569472,1941,487
837,694352839993344000,1980,594
838,694356675654983680,1466,279
839,694669722378485760,34891,13907
840,694905863685980160,2668,910
841,695051054296211456,2588,769
842,695064344191721472,1558,574
843,695074328191332352,2766,1063
844,695095422348574720,2567,595
845,695314793360662529,3531,1408
846,695409464418041856,8447,3473
847,695446424020918272,4287,1759
848,695629776980148225,4452,2031
849,695767669421768709,1809,717
850,695794761660297217,3077,746
851,695816827381944320,2933,1125
852,696405997980676096,3114,1123
853,696488710901260288,2451,991
854,696713835009417216,2309,627
855,696754882863349760,1441,352
856,696877980375769088,2383,688
857,696886256886657024,4721,1743
858,696894894812565505,2278,664
859,696900204696625153,3084,994
860,697242256848379904,2457,645
861,697255105972801536,2982,1118
862,697259378236399616,3208,974
863,697270446429966336,4581,1823
864,697463031882764288,3334,1364
865,697482927769255936,2352,647
866,697575480820686848,1988,485
867,697596423848730625,2932,1225
868,697616773278015490,3071,982
869,697881462549430272,2938,1128
870,697943111201378304,2326,654
871,697990423684476929,3195,1254
872,697995514407682048,1480,326
873,698178924120031232,2736,718
874,698195409219559425,16333,5783
875,698262614669991936,4644,1935
876,698342080612007937,2211,933
877,698355670425473025,1801,432
878,698549713696649216,2257,606
879,698635131305795584,1261,333
880,698703483621523456,1413,362
881,698710712454139905,2401,659
882,698907974262222848,2472,603
883,698953797952008193,2610,886
884,698989035503689728,3255,945
885,699036661657767936,2538,1169
886,699072405256409088,2897,1149
887,699079609774645248,2379,631
888,699088579889332224,2188,610
889,699323444782047232,3068,837
890,699370870310113280,1845,425
891,699413908797464576,2031,609
892,699423671849451520,1319,311
893,699434518667751424,2112,499
894,699446877801091073,5793,2538
895,699691744225525762,10011,4459
896,699775878809702401,1903,583
897,699779630832685056,2661,1194
898,699788877217865730,2170,496
899,699801817392291840,2956,920
900,700002074055016451,3219,1297
901,700029284593901568,2018,570
902,700062718104104960,2574,665
903,700143752053182464,7322,2619
904,700151421916807169,2181,650
905,700167517596164096,2561,709
906,700462010979500032,4006,1723
907,700505138482569216,2231,549
908,700518061187723268,2535,770
909,700747788515020802,22191,8983
910,700796979434098688,2369,908
911,700847567345688576,2394,486
912,700864154249383937,2526,605
913,700890391244103680,2159,548
914,701214700881756160,11872,4929
915,701545186879471618,2587,591
916,701570477911896070,2738,902
917,701601587219795968,2036,439
918,701889187134500865,3446,1344
919,701952816642965504,3740,993
920,701981390485725185,3345,957
921,702217446468493312,4655,1302
922,702276748847800320,2403,751
923,702321140488925184,3188,1012
924,702539513671897089,2804,927
925,702598099714314240,11898,3334
926,702671118226825216,2132,544
927,702684942141153280,3140,1034
928,702932127499816960,2515,698
929,703041949650034688,25592,12062
930,703079050210877440,7194,2981
931,703268521220972544,1928,527
932,703356393781329922,1860,373
933,703382836347330562,3413,1109
934,703407252292673536,2365,674
935,703425003149250560,3701,1323
936,703611486317502464,3728,1483
937,703631701117943808,2501,655
938,703769065844768768,3183,1103
939,703774238772166656,1788,441
940,704054845121142784,2840,890
941,704113298707505153,1805,556
942,704347321748819968,1533,339
943,704364645503647744,7764,3443
944,704480331685040129,3297,1036
945,704499785726889984,2831,984
946,704761120771465216,6459,2834
947,704819833553219584,2567,950
948,704847917308362754,4926,1470
949,704859558691414016,2188,520
950,704871453724954624,4162,1089
951,705066031337840642,2133,598
952,705102439679201280,2082,502
953,705223444686888960,2523,775
954,705239209544720384,2907,732
955,705428427625635840,3700,1621
956,705442520700944385,4294,1569
957,705475953783398401,2882,882
958,705591895322394625,3090,1113
959,705786532653883392,1877,500
960,705898680587526145,2300,536
961,705970349788291072,3095,868
962,705975130514706432,3014,708
963,706166467411222528,5012,1555
964,706265994973601792,2663,903
965,706291001778950144,1661,463
966,706310011488698368,20681,7656
967,706346369204748288,3360,899
968,706516534877929472,3035,1003
969,706538006853918722,3378,1385
970,706593038911545345,2095,612
971,706644897839910912,2498,1054
972,706681918348251136,3208,946
973,706901761596989440,1990,567
974,707014260413456384,2253,581
975,707021089608753152,3973,1308
976,707038192327901184,2126,760
977,707059547140169728,2524,653
978,707297311098011648,2705,758
979,707315916783140866,2408,617
980,707377100785885184,3183,1056
981,707387676719185920,3398,1238
